"primary_country","content_type","content_count","movie_count","tv_show_count","avg_quality_score","added_2021","added_2020","added_2019","recent_content_count","avg_content_age_years","percentage_of_country"
"United States","Movie","2352","2352","0","0.976","374","486","606","52","14.1","73.57"
"India","Movie","927","927","0","0.994","85","176","194","24","14.5","91.96"
"United States","TV Show","845","0","845","0.777","162","221","160","100","9.5","26.43"
"United Kingdom","Movie","382","382","0","0.966","49","62","98","10","12.6","60.83"
"United Kingdom","TV Show","246","0","246","0.789","28","45","57","17","10.2","39.17"
"Canada","Movie","187","187","0","0.972","14","44","40","2","9.8","69.0"
"Japan","TV Show","174","0","174","0.807","26","44","41","10","11.2","67.18"
"South Korea","TV Show","164","0","164","0.811","20","42","45","13","9.0","77.73"
"France","Movie","147","147","0","0.988","18","40","28","6","11.2","69.67"
"Spain","Movie","127","127","0","0.976","14","17","30","6","8.6","70.95"
"Egypt","Movie","98","98","0","0.992","5","46","46","1","18.3","87.5"
"Mexico","Movie","86","86","0","0.981","7","14","16","5","9.9","64.18"
"Nigeria","Movie","86","86","0","0.995","23","33","26","2","8.9","100.0"
"Japan","Movie","85","85","0","0.991","19","23","18","2","12.3","32.82"
"Canada","TV Show","84","0","84","0.795","13","20","13","5","10.0","31.0"
"Indonesia","Movie","83","83","0","0.998","12","27","18","4","9.7","100.0"
"Turkey","Movie","81","81","0","0.995","22","24","14","2","11.8","72.97"
"India","TV Show","81","0","81","0.783","15","17","18","9","8.7","8.04"
"Germany","Movie","78","78","0","0.977","14","15","15","3","11.6","75.73"
"Philippines","Movie","77","77","0","1.0","3","31","39","0","10.4","100.0"
"Hong Kong","Movie","76","76","0","0.997","3","4","15","0","25.0","100.0"
"Taiwan","TV Show","70","0","70","0.823","5","6","17","0","12.4","82.35"
"France","TV Show","64","0","64","0.781","9","15","17","4","9.1","30.33"
"Australia","Movie","61","61","0","0.97","6","8","8","3","12.7","52.14"
"China","Movie","59","59","0","0.99","12","5","9","7","8.8","59.0"
"Argentina","Movie","56","56","0","0.982","7","9","8","1","11.2","73.68"
"Australia","TV Show","56","0","56","0.779","9","13","14","6","8.9","47.86"
"Brazil","Movie","56","56","0","0.964","6","12","11","3","8.6","66.67"
"Spain","TV Show","52","0","52","0.819","11","13","15","9","7.4","29.05"
"Mexico","TV Show","48","0","48","0.808","10","9","14","7","9.1","35.82"
"Italy","Movie","48","48","0","0.967","7","13","9","5","12.3","71.64"
"South Korea","Movie","47","47","0","0.983","7","6","11","6","8.7","22.27"
"Thailand","Movie","41","41","0","0.99","2","4","8","2","12.9","63.08"
"China","TV Show","41","0","41","0.81","3","4","15","0","8.8","41.0"
"South Africa","Movie","35","35","0","0.994","6","18","5","4","9.9","100.0"
"Turkey","TV Show","30","0","30","0.833","4","3","4","3","10.4","27.03"
"Brazil","TV Show","28","0","28","0.821","1","14","8","1","7.0","33.33"
"Germany","TV Show","25","0","25","0.784","4","11","3","4","7.0","24.27"
"Colombia","TV Show","25","0","25","0.816","4","5","6","1","10.4","62.5"
"Thailand","TV Show","24","0","24","0.842","5","3","10","2","8.0","36.92"
"Netherlands","Movie","23","23","0","0.965","2","4","5","2","9.2","100.0"
"Poland","Movie","22","22","0","0.991","3","8","9","2","23.6","100.0"
"Ireland","Movie","22","22","0","0.964","2","5","1","0","11.7","100.0"
"Argentina","TV Show","20","0","20","0.81","4","4","8","1","8.1","26.32"
"United Arab Emirates","Movie","20","20","0","0.99","2","9","3","1","8.9","100.0"
"Italy","TV Show","19","0","19","0.842","5","7","2","3","9.4","28.36"
"Denmark","Movie","19","19","0","0.937","0","0","7","0","12.4","63.33"
"Pakistan","Movie","18","18","0","0.989","0","1","6","0","9.6","100.0"
"Singapore","TV Show","18","0","18","0.8","0","0","1","0","13.1","64.29"
"Chile","Movie","18","18","0","1.0","1","2","2","0","9.6","100.0"
"Lebanon","Movie","18","18","0","0.967","4","13","0","0","18.5","100.0"
"Malaysia","Movie","16","16","0","1.0","1","5","4","0","11.1","100.0"
"Taiwan","Movie","15","15","0","0.987","3","6","5","0","8.0","17.65"
"New Zealand","Movie","15","15","0","1.0","2","4","2","1","13.3","100.0"
"Colombia","Movie","15","15","0","0.96","2","2","4","2","7.3","37.5"
"Egypt","TV Show","14","0","14","0.8","2","3","8","1","7.9","12.5"
"Russia","TV Show","14","0","14","0.786","2","2","3","0","9.2","100.0"
"Israel","Movie","12","12","0","0.983","0","0","4","0","10.1","54.55"
"Norway","Movie","12","12","0","0.983","1","2","0","0","9.3","100.0"
"Sweden","Movie","11","11","0","0.945","2","2","2","2","9.7","100.0"
"Denmark","TV Show","11","0","11","0.836","1","5","3","0","8.5","36.67"
"Israel","TV Show","10","0","10","0.76","4","1","2","3","7.4","45.45"
"Romania","Movie","10","10","0","0.98","3","5","2","0","11.0","100.0"
"Singapore","Movie","10","10","0","1.0","0","1","2","0","10.0","35.71"
