"added_year","added_month","content_type","content_added_count","avg_quality_score","avg_age_of_content_added","month_name","cumulative_content_count"
"2021","9","Movie","116","0.99","17.8","September","6114"
"2021","9","TV Show","65","0.788","7.2","September","2663"
"2021","8","Movie","117","0.983","14.0","August","5998"
"2021","8","TV Show","60","0.793","7.3","August","2598"
"2021","7","Movie","169","0.988","13.3","July","5881"
"2021","7","TV Show","88","0.775","6.3","July","2538"
"2021","6","Movie","123","0.976","12.8","June","5712"
"2021","6","TV Show","83","0.817","7.1","June","2450"
"2021","5","Movie","94","0.972","10.5","May","5589"
"2021","5","TV Show","38","0.789","6.6","May","2367"
"2021","4","Movie","135","0.978","10.6","April","5495"
"2021","4","TV Show","53","0.77","6.7","April","2329"
"2021","3","Movie","74","0.984","8.3","March","5360"
"2021","3","TV Show","37","0.795","6.4","March","2276"
"2021","2","Movie","65","0.978","8.6","February","5286"
"2021","2","TV Show","44","0.791","8.8","February","2239"
"2021","1","Movie","94","0.987","14.9","January","5221"
"2021","1","TV Show","36","0.778","6.0","January","2195"
"2020","12","Movie","101","0.986","9.6","December","5127"
"2020","12","TV Show","67","0.791","7.7","December","2159"
"2020","11","Movie","102","0.984","12.5","November","5026"
"2020","11","TV Show","51","0.784","7.8","November","2092"
"2020","10","Movie","116","0.984","11.8","October","4924"
"2020","10","TV Show","51","0.796","8.0","October","2041"
"2020","9","Movie","115","0.984","10.4","September","4808"
"2020","9","TV Show","53","0.781","8.0","September","1990"
"2020","8","Movie","81","0.983","9.5","August","4693"
"2020","8","TV Show","47","0.762","8.0","August","1937"
"2020","7","Movie","102","0.982","10.5","July","4612"
"2020","7","TV Show","43","0.781","7.6","July","1890"
"2020","6","Movie","115","0.979","13.9","June","4510"
"2020","6","TV Show","41","0.78","7.8","June","1847"
"2020","5","Movie","105","0.994","13.0","May","4395"
"2020","5","TV Show","52","0.812","8.1","May","1806"
"2020","4","Movie","126","0.981","12.2","April","4290"
"2020","4","TV Show","50","0.788","7.8","April","1754"
"2020","3","Movie","93","0.976","8.0","March","4164"
"2020","3","TV Show","44","0.809","7.1","March","1704"
"2020","2","Movie","72","0.981","8.8","February","4071"
"2020","2","TV Show","42","0.81","7.3","February","1660"
"2020","1","Movie","151","0.999","18.7","January","3999"
"2020","1","TV Show","53","0.789","7.5","January","1618"
"2019","12","Movie","168","0.993","18.2","December","3848"
"2019","12","TV Show","47","0.809","8.7","December","1565"
"2019","11","Movie","187","0.987","19.8","November","3680"
"2019","11","TV Show","68","0.785","9.4","November","1518"
"2019","10","Movie","128","0.964","15.5","October","3493"
"2019","10","TV Show","65","0.791","8.3","October","1450"
"2019","9","Movie","86","0.984","11.4","September","3365"
"2019","9","TV Show","37","0.8","8.6","September","1385"
"2019","8","Movie","87","0.972","12.5","August","3279"
"2019","8","TV Show","44","0.809","8.2","August","1348"
"2019","7","Movie","98","0.969","12.5","July","3192"
"2019","7","TV Show","59","0.786","9.0","July","1304"
"2019","6","Movie","122","0.98","10.9","June","3094"
"2019","6","TV Show","46","0.774","9.3","June","1245"
"2019","5","Movie","91","0.969","9.5","May","2972"
"2019","5","TV Show","47","0.791","8.5","May","1199"
"2019","4","Movie","118","0.981","10.9","April","2881"
"2019","4","TV Show","43","0.786","9.5","April","1152"
"2019","3","Movie","119","0.988","11.0","March","2763"
"2019","3","TV Show","53","0.792","8.8","March","1109"
"2019","2","Movie","103","0.979","10.6","February","2644"
"2019","2","TV Show","45","0.791","9.3","February","1056"
"2019","1","Movie","116","0.974","13.1","January","2541"
"2019","1","TV Show","37","0.784","9.8","January","1011"
"2018","12","Movie","124","0.963","12.3","December","2425"
"2018","12","TV Show","61","0.784","11.1","December","974"
"2018","11","Movie","118","0.988","11.4","November","2301"
"2018","11","TV Show","36","0.783","9.1","November","913"
"2018","10","Movie","146","0.984","12.5","October","2183"
"2018","10","TV Show","45","0.778","11.2","October","877"
"2018","9","Movie","81","0.978","11.7","September","2037"
"2018","9","TV Show","43","0.749","9.2","September","832"
"2018","8","Movie","129","0.991","16.9","August","1956"
"2018","8","TV Show","34","0.776","9.1","August","789"
"2018","7","Movie","125","0.981","13.0","July","1827"
"2018","7","TV Show","27","0.778","8.9","July","755"
"2018","6","Movie","50","0.964","10.5","June","1702"
"2018","6","TV Show","28","0.779","9.1","June","728"
"2018","5","Movie","70","0.974","10.1","May","1652"
"2018","5","TV Show","27","0.785","9.0","May","700"
"2018","4","Movie","87","0.977","14.4","April","1582"
"2018","4","TV Show","28","0.793","10.7","April","673"
"2018","3","Movie","138","0.983","13.7","March","1495"
"2018","3","TV Show","35","0.806","11.3","March","645"
"2018","2","Movie","63","0.962","10.5","February","1357"
"2018","2","TV Show","24","0.8","10.0","February","610"
"2018","1","Movie","104","0.965","12.5","January","1294"
"2018","1","TV Show","24","0.817","11.5","January","586"
"2017","12","Movie","80","0.972","11.8","December","1190"
"2017","12","TV Show","38","0.816","12.6","December","562"
"2017","11","Movie","55","0.975","11.4","November","1110"
"2017","11","TV Show","30","0.807","11.2","November","524"
"2017","10","Movie","97","0.979","11.6","October","1055"
"2017","10","TV Show","29","0.779","11.4","October","494"
"2017","9","Movie","81","0.963","14.0","September","958"
"2017","9","TV Show","32","0.788","11.6","September","465"
"2017","8","Movie","77","0.977","10.4","August","877"
"2017","8","TV Show","38","0.789","11.7","August","433"
"2017","7","Movie","45","0.987","14.1","July","800"
"2017","7","TV Show","34","0.824","16.5","July","395"
"2017","6","Movie","65","0.975","12.8","June","755"
"2017","6","TV Show","29","0.8","10.4","June","361"
"2017","5","Movie","63","0.962","12.2","May","690"
"2017","5","TV Show","23","0.8","12.2","May","332"
"2017","4","Movie","66","0.955","11.8","April","627"
"2017","4","TV Show","27","0.807","11.4","April","309"
"2017","3","Movie","86","0.96","22.3","March","561"
"2017","3","TV Show","38","0.789","11.7","March","282"
"2017","2","Movie","65","0.969","11.8","February","475"
"2017","2","TV Show","17","0.812","16.9","February","244"
"2017","1","Movie","57","0.972","10.9","January","410"
"2017","1","TV Show","14","0.786","13.4","January","227"
"2016","12","Movie","52","0.969","11.4","December","353"
"2016","12","TV Show","44","0.8","12.6","December","213"
"2016","11","Movie","26","0.969","15.0","November","301"
"2016","11","TV Show","18","0.8","13.8","November","169"
"2016","10","Movie","32","0.988","11.0","October","275"
"2016","10","TV Show","19","0.8","14.3","October","151"
"2016","9","Movie","29","0.89","11.0","September","243"
"2016","9","TV Show","19","0.779","13.0","September","132"
"2016","8","Movie","23","0.939","14.0","August","214"
"2016","8","TV Show","11","0.745","14.1","August","113"
"2016","7","Movie","19","0.989","11.3","July","191"
"2016","7","TV Show","9","0.8","11.6","July","102"
"2016","6","Movie","11","0.927","11.0","June","172"
"2016","6","TV Show","7","0.771","13.9","June","93"
"2016","5","Movie","9","1.0","10.9","May","161"
"2016","5","TV Show","4","0.8","16.8","May","86"
"2016","4","Movie","14","0.929","11.6","April","152"
"2016","4","TV Show","8","0.8","11.5","April","82"
"2016","3","Movie","14","0.986","11.1","March","138"
"2016","3","TV Show","3","0.8","10.7","March","74"
"2016","2","Movie","9","0.978","11.6","February","124"
"2016","2","TV Show","6","0.767","12.0","February","71"
"2016","1","Movie","15","0.88","13.7","January","115"
"2016","1","TV Show","28","0.807","20.6","January","65"
"2015","12","Movie","14","0.971","11.6","December","100"
"2015","12","TV Show","7","0.771","12.7","December","37"
"2015","11","Movie","2","1.0","11.0","November","86"
"2015","11","TV Show","2","0.8","11.5","November","30"
"2015","10","Movie","9","0.978","11.2","October","84"
"2015","10","TV Show","4","0.9","16.3","October","28"
"2015","9","Movie","6","1.0","11.3","September","75"
"2015","9","TV Show","1","0.8","11.0","September","24"
"2015","8","Movie","2","1.0","11.5","August","69"
"2015","7","Movie","5","1.0","12.0","July","67"
"2015","7","TV Show","2","0.8","11.0","July","23"
"2015","6","Movie","4","0.95","11.3","June","62"
"2015","6","TV Show","2","0.8","22.5","June","21"
"2015","5","Movie","5","0.96","11.2","May","58"
"2015","5","TV Show","1","0.8","12.0","May","19"
"2015","4","Movie","1","1.0","11.0","April","53"
"2015","4","TV Show","4","0.85","16.5","April","18"
"2015","3","Movie","3","1.0","11.3","March","52"
"2015","3","TV Show","2","0.7","13.5","March","14"
"2015","2","Movie","3","0.8","11.3","February","49"
"2015","2","TV Show","1","0.8","13.0","February","12"
"2015","1","Movie","1","0.8","11.0","January","46"
"2014","12","Movie","5","0.96","17.2","December","45"
"2014","12","TV Show","1","0.8","36.0","December","11"
"2014","11","Movie","2","0.9","12.0","November","40"
"2014","11","TV Show","2","0.8","20.0","November","10"
"2014","10","Movie","4","0.95","12.0","October","38"
"2014","9","Movie","1","0.8","12.0","September","34"
"2014","8","Movie","1","1.0","12.0","August","33"
"2014","7","Movie","1","1.0","12.0","July","32"
"2014","6","Movie","1","1.0","12.0","June","31"
"2014","4","Movie","1","0.8","13.0","April","30"
"2014","4","TV Show","1","0.8","14.0","April","8"
"2014","2","Movie","1","1.0","13.0","February","29"
"2014","2","TV Show","1","0.8","13.0","February","7"
"2014","1","Movie","2","1.0","12.5","January","28"
"2013","12","Movie","2","1.0","13.0","December","26"
"2013","11","Movie","2","1.0","14.0","November","24"
"2013","10","Movie","1","1.0","13.0","October","22"
"2013","10","TV Show","2","0.8","13.5","October","6"
"2013","9","Movie","1","1.0","13.0","September","21"
"2013","9","TV Show","1","0.8","19.0","September","4"
"2013","8","TV Show","1","0.8","13.0","August","3"
"2013","3","TV Show","1","1.0","10.0","March","2"
"2012","12","Movie","1","1.0","16.0","December","20"
"2012","11","Movie","1","1.0","14.0","November","19"
"2012","2","Movie","1","1.0","15.0","February","18"
"2011","10","Movie","11","1.0","37.5","October","17"
"2011","9","Movie","1","1.0","26.0","September","6"
"2011","5","Movie","1","1.0","16.0","May","5"
"2010","11","Movie","1","1.0","39.0","November","4"
"2009","11","Movie","1","1.0","17.0","November","3"
"2009","5","Movie","1","1.0","19.0","May","2"
"2008","2","TV Show","1","0.6","19.0","February","1"
"2008","1","Movie","1","1.0","20.0","January","1"
